MnPS3,,Hole,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1823,17.26307106,1823,138.3336182,1823,27.84252548,1823,42.30997086,1823,20.07976532,
1820,17.33099937,1820,137.7025757,1820,27.38249588,1820,41.90964508,1820,19.45992851,
1817,17.33776093,1817,138.8363342,1817,27.80601883,1817,42.57320404,1817,19.50252724,
1814,17.55710983,1814,140.6255798,1814,27.96127129,1814,42.64271927,1814,20.07312775,
1811,17.69286728,1811,139.6285248,1811,28.30704689,1811,42.53095627,1811,19.3123951,
1808,17.84660149,1808,141.7253723,1808,28.89154816,1808,43.00039291,1808,19.51926231,
1805,18.25086403,1805,142.2015228,1805,29.01853371,1805,43.03342438,1805,19.80423546,
1802,18.28634071,1802,143.2821808,1802,29.14738083,1802,43.10089111,1802,19.36522484,
1799,18.350811,1799,144.3444366,1799,28.80581093,1799,43.95896912,1799,19.73560333,
1796,18.66785049,1796,144.709198,1796,28.94525909,1796,43.94988251,1796,19.78552437,
1793,18.7827282,1793,146.0677185,1793,29.0284481,1793,44.44866562,1793,19.51212692,
1790,19.06685638,1790,146.3934784,1790,29.32172966,1790,45.18787766,1790,20.17977715,
1787,18.96461868,1787,147.7761383,1787,29.78496552,1787,44.9669075,1787,20.32834244,
1784,18.91935349,1784,148.4491577,1784,29.81569481,1784,46.19879913,1784,20.26670265,
1781,18.80898476,1781,149.1391296,1781,29.80689049,1781,46.56544876,1781,20.88991928,
1778,18.9389267,1778,150.1831818,1778,29.50843048,1778,46.66060638,1778,20.72200394,
1775,18.88915253,1775,150.558609,1775,29.59899902,1775,47.76669312,1775,21.13158798,
1772,18.88418388,1772,151.6815033,1772,29.84861183,1772,47.41080856,1772,21.89524078,
1769,19.10848618,1769,152.3583221,1769,30.13642693,1769,47.96271896,1769,21.66271973,
1766,19.06281281,1766,153.3668823,1766,30.91462898,1766,48.58020782,1766,22.36423111,
1763,19.15945625,1763,154.125473,1763,31.20932961,1763,47.93891907,1763,22.59781456,
1760,19.04661179,1760,154.7591705,1760,31.35097885,1760,48.43225479,1760,22.25252914,
1757,19.1391983,1757,155.6508789,1757,31.13785362,1757,48.39217377,1757,22.92355537,
1754,19.36301804,1754,156.070694,1754,31.11501694,1754,48.04414368,1754,22.56966209,
1751,19.55826187,1751,157.0973358,1751,31.30278206,1751,48.85924911,1751,22.44935989,
1748,19.85028267,1748,157.9003448,1748,31.29706383,1748,48.75252533,1748,22.73005676,
1745,19.97913551,1745,158.8632355,1745,31.70374298,1745,48.94052505,1745,22.1564846,
1742,20.17052078,1742,159.6283875,1742,31.67300606,1742,49.43343735,1742,22.55160904,
1739,20.19607735,1739,160.1170349,1739,31.63041496,1739,49.0276947,1739,22.73311043,
1736,20.2903347,1736,160.837738,1736,31.16610909,1736,49.66223145,1736,22.30996513,
1733,20.17546654,1733,161.6473846,1733,31.04883194,1733,49.57409668,1733,22.78181839,
1730,20.06536484,1730,162.1990662,1730,31.28190613,1730,49.53897095,1730,22.59531021,
1727,20.03308678,1727,163.3684692,1727,31.51061249,1727,50.02705002,1727,22.71332932,
1724,20.02560234,1724,163.9262085,1724,32.16982651,1724,49.8330307,1724,23.11105728,
1721,19.8521843,1721,165.0621796,1721,32.50136185,1721,50.26945496,1721,22.79209328,
1718,19.73051643,1718,165.7372894,1718,32.59724045,1718,50.37826157,1718,23.08485031,
1715,19.63161087,1715,166.6734619,1715,32.45678711,1715,50.29703903,1715,22.9261837,
1712,19.94727325,1712,167.5163879,1712,32.3735466,1712,51.05606842,1712,22.79847717,
1709,20.20870972,1709,168.1072083,1709,32.33272552,1709,51.01230621,1709,23.23404121,
1706,20.43389511,1706,169.4024353,1706,32.43386459,1706,51.78759003,1706,23.01995468,
1703,20.7369976,1703,169.8115997,1703,32.77746582,1703,52.24728394,1703,23.41297913,
1700,21.04958344,1700,171.0887756,1700,32.92018127,1700,52.22012329,1700,23.54673195,
1697,21.16820717,1697,171.24263,1697,32.69451523,1697,52.98114395,1697,23.6687355,
1694,21.38879967,1694,172.6598816,1694,32.42834091,1694,52.93785477,1694,24.41095352,
1691,21.48014641,1691,172.7077484,1691,32.15522385,1691,53.60324478,1691,24.02564621,
1688,21.45704269,1688,174.3321228,1688,32.35269165,1688,53.75336456,1688,24.75537491,
1685,21.45577621,1685,174.4096375,1685,32.634655,1685,53.67987823,1685,24.90410042,
1682,21.28572083,1682,175.723999,1682,33.22562027,1682,54.08744049,1682,25.15310669,
1679,21.31023026,1679,176.244812,1679,33.61441803,1679,53.7265358,1679,25.65155983,
1676,21.24979782,1676,177.1735992,1676,33.73601532,1676,53.8375206,1676,25.43668365,
1673,21.10162354,1673,177.8703156,1673,33.74046707,1673,53.67868042,1673,25.82517242,
1670,21.08093834,1670,178.8801727,1670,33.30554581,1670,53.4580307,1670,25.50710678,
1667,21.12338066,1667,179.9807587,1667,33.38566589,1667,53.6805687,1667,25.32739258,
1664,21.41018486,1664,180.4085541,1664,33.21419907,1664,53.53119278,1664,25.36455345,
1661,21.95666504,1661,181.8079987,1661,33.75483322,1661,53.88235474,1661,25.13190842,
1658,22.18639565,1658,182.2080231,1658,33.66949844,1658,53.73217392,1658,25.17317009,
1655,22.3900528,1655,183.7535553,1655,33.8507843,1655,54.00504303,1655,25.1167717,
1652,22.53182793,1652,183.7353973,1652,33.48506546,1652,53.92314148,1652,25.0050106,
1649,22.64748001,1649,185.4006958,1649,33.57961273,1649,54.27532196,1649,25.10630798,
1646,22.87435532,1646,185.4297485,1646,33.58865356,1646,54.34833908,1646,25.0921669,
1643,22.770504,1643,187.3716583,1643,34.19309998,1643,54.90574646,1643,25.33165741,
1640,22.70921707,1640,187.2265472,1640,34.55647659,1640,55.14728928,1640,25.26112175,
1637,22.41848183,1637,189.1946106,1637,35.30639267,1637,55.7297821,1637,25.48273468,
1634,22.24357033,1634,188.9398346,1634,35.09596252,1634,55.9981041,1634,25.61455345,
1631,22.15546799,1631,190.8167725,1631,35.19136047,1631,56.74856186,1631,25.89612579,
1628,22.27601814,1628,190.7347717,1628,34.43917465,1628,57.21202087,1628,26.02854729,
1625,22.52602005,1625,192.7046814,1625,34.8696785,1625,57.90548325,1625,26.50454903,
1622,22.81050873,1622,192.5652008,1622,34.55789948,1622,58.06166077,1622,26.8278904,
1619,23.17767143,1619,194.566925,1619,35.27449417,1619,58.62847519,1619,27.42251968,
1616,23.74508286,1616,194.6185913,1616,35.3817749,1616,58.63711166,1616,27.79417038,
1613,24.07358932,1613,196.2985687,1613,35.90548706,1613,58.83013535,1613,28.14523315,
1610,24.13393402,1610,196.3321533,1610,35.82188034,1610,58.60933685,1610,28.13159752,
1607,24.0976963,1607,197.9460297,1607,35.77280045,1607,58.48097992,1607,28.42274094,
1604,24.05669594,1604,197.9059753,1604,35.87519073,1604,58.43871689,1604,28.30743408,
1601,23.9684124,1601,199.424118,1601,36.27367783,1601,58.48513794,1601,28.37038612,
1598,23.93972397,1598,200.1315765,1598,36.60371399,1598,58.28866959,1598,28.24005699,
1595,23.67367363,1595,201.0498962,1595,37.11676788,1595,58.58137512,1595,28.02899742,
1592,23.61822128,1592,202.0119629,1592,36.94831848,1592,58.3302002,1592,27.93546867,
1589,23.55059433,1589,202.7799072,1589,36.77921677,1589,58.8023262,1589,27.6136837,
1586,23.82351685,1586,203.8317261,1586,36.30762863,1586,58.50504684,1586,27.63023376,
1583,24.21735954,1583,204.2895508,1583,36.4021492,1583,58.89306641,1583,27.41892624,
1580,24.54854393,1580,205.5902252,1580,36.67582703,1580,58.61384201,1580,27.79539299,
1577,24.91996956,1577,205.7128601,1577,37.14567184,1577,59.20819092,1577,27.58436584,
1574,25.10824203,1574,207.3100128,1574,37.80459213,1574,59.0810585,1574,27.70617867,
1571,25.39321136,1571,207.2892151,1571,37.80705643,1571,59.57202148,1571,27.50310326,
1568,25.2581768,1568,208.8627319,1568,37.81996536,1568,59.38763046,1568,27.68299484,
1565,25.20394325,1565,208.5965576,1565,37.36940384,1565,60.0439949,1565,27.60895729,
1562,24.96975517,1562,209.9519501,1562,37.3079567,1562,60.15570831,1562,27.85167694,
1559,24.88811684,1559,210.2703857,1559,37.35350037,1559,60.80059814,1559,27.87846375,
1556,24.93878174,1556,211.5686188,1556,37.51057816,1556,60.89265823,1556,28.13088036,
1553,24.86634445,1553,212.0137177,1553,37.89863586,1553,61.27141571,1553,28.41952515,
1550,24.8132267,1550,212.8252716,1550,37.8595047,1550,61.20638275,1550,28.52141571,
1547,24.76120758,1547,213.7804565,1547,37.91160965,1547,61.37509155,1547,28.80167389,
1544,25.04206085,1544,214.1821594,1544,37.52183151,1544,60.86798477,1544,28.89787483,
1541,25.28582573,1541,215.0955658,1541,37.60080719,1541,60.96329498,1541,29.15202904,
1538,25.65274239,1538,215.4350281,1538,37.78000259,1538,60.2506218,1538,28.88550186,
1535,25.82030869,1535,216.4039612,1535,38.03170013,1535,60.09430313,1535,28.95495987,
1532,25.97204971,1532,217.0239868,1532,38.52761459,1532,59.30624008,1532,28.60155487,
1529,25.96782494,1529,217.7895966,1529,38.32887268,1529,59.19976807,1529,28.43234634,
1526,25.88258171,1526,218.4515686,1526,38.12342834,1526,58.61809921,1526,27.77760315,
1523,25.62385178,1523,219.1090851,1523,37.32536697,1523,58.75013351,1523,27.41975784,
1520,25.44253731,1520,219.6925659,1520,37.0692749,1520,58.19401169,1520,26.83232117,
1517,25.45747375,1517,220.4546509,1517,37.08731842,1517,58.37975693,1517,26.69978523,
1514,25.61049461,1514,221.077652,1514,37.1965332,1514,58.04330826,1514,26.40690422,
1511,25.65700722,1511,222.0677185,1511,37.64802933,1511,58.27401352,1511,26.29104614,
1508,25.92218018,1508,222.6447296,1508,37.59566116,1508,58.02177048,1508,26.0857048,
1505,26.17335892,1505,223.1662445,1505,37.29574203,1505,58.02735519,1505,25.99785614,
1502,26.34969711,1502,224.0665436,1502,36.727314,1502,57.3829422,1502,25.94335365,
1499,26.61569214,1499,224.3681946,1499,36.31821442,1499,57.34045029,1499,25.96707916,
1496,26.78744888,1496,225.0233154,1496,36.10072327,1496,56.75024414,1496,26.02890396,
1493,26.92105484,1493,225.8329468,1493,35.8764267,1493,56.41902542,1493,25.72943878,
1490,26.95689774,1490,226.3626099,1490,35.91012192,1490,55.46389389,1490,25.76530647,
1487,26.64736748,1487,227.231842,1487,35.64925385,1487,54.61897278,1487,25.43380547,
1484,26.41573524,1484,227.390213,1484,35.30709457,1484,53.66857147,1484,25.12524033,
1481,26.33588028,1481,228.4436951,1481,34.47327423,1481,52.70430374,1481,24.55766678,
1478,26.3109951,1478,228.5267639,1478,34.03137207,1478,51.68212509,1478,24.10150146,
1475,26.38991547,1475,228.883194,1475,33.61944962,1475,50.58374405,1475,23.37666893,
1472,26.51476288,1472,229.790451,1472,33.2653923,1472,49.52293777,1472,22.83097267,
1469,26.72143936,1469,229.701355,1469,33.07152176,1469,48.22842026,1469,22.05913162,
1466,27.06614685,1466,230.7172241,1466,32.46099472,1466,47.33436966,1466,21.42745781,
1463,27.21814156,1463,231.2199097,1463,31.63194656,1463,46.07730865,1463,20.71247482,
1460,27.14310646,1460,230.8794556,1460,30.44599342,1460,44.93788147,1460,19.96713638,
1457,27.16075134,1457,232.3292084,1457,29.55433655,1457,43.90293503,1457,19.39436722,
1454,27.15816498,1454,232.4127655,1454,29.06500626,1454,42.7481041,1454,18.85379982,
1451,26.97264862,1451,233.1320496,1451,28.25359917,1451,41.61936569,1451,18.38506699,
1448,26.722435,1448,234.2224121,1448,27.82734299,1448,40.4300499,1448,17.80628777,
1445,26.78132439,1445,234.0202026,1445,27.16121674,1445,39.14298248,1445,17.3420105,
1442,26.79608536,1442,234.5991669,1442,26.1523037,1442,37.78259277,1442,16.81995583,
1439,26.86084175,1439,235.1430969,1439,25.03587341,1439,36.28238297,1439,16.44109726,
1436,27.16466713,1436,234.7423553,1436,23.88252831,1436,34.66962814,1436,15.92175674,
1433,27.45475388,1433,235.8742218,1433,22.81022644,1433,33.12612534,1433,15.3323698,
1430,27.68260574,1430,236.6725159,1430,21.96917725,1430,31.57084274,1430,14.73597908,
1427,27.86824799,1427,236.5334473,1427,21.37374306,1427,29.98805618,1427,14.15683365,
1424,27.6391449,1424,237.3079987,1424,20.47740746,1424,28.29453278,1424,13.53288269,
1421,27.50624084,1421,238.0383301,1421,19.52899551,1421,26.71072769,1421,12.87257957,
1418,27.49267578,1418,239.187973,1418,18.49374962,1418,25.10163116,1418,12.32320404,
