Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1220,61.08400345,1220,2.217097759,1220,25.7347641,1220,30.93164063,1220,16.43346786,
1210,61.42612076,1210,2.219624758,1210,25.37376213,1210,30.36724854,1210,15.55809116,
1200,61.69379807,1200,2.244090557,1200,25.60800362,1200,30.4979229,1200,16.07467079,
1190,61.32556152,1190,2.227487326,1190,25.57281494,1190,29.91430092,1190,15.49398136,
1180,60.59802246,1180,2.223125696,1180,25.68486595,1180,30.22037697,1180,16.39203835,
1170,61.51501083,1170,2.272861004,1170,26.16656685,1170,30.14301682,1170,16.1802597,
1160,62.22293854,1160,2.27646184,1160,26.35548401,1160,29.91622734,1160,15.9311924,
1150,61.76273727,1150,2.222846746,1150,25.71040154,1150,30.31351471,1150,16.91134644,
1140,62.2399025,1140,2.223111868,1140,25.56386375,1140,30.00222778,1140,16.19525337,
1130,62.44869995,1130,2.211527348,1130,25.84346581,1130,29.80747223,1130,16.07717514,
1120,61.80025482,1120,2.255634069,1120,26.10744286,1120,30.12287903,1120,16.76967239,
1110,62.56291199,1110,2.204288244,1110,26.42045593,1110,29.70969391,1110,15.665802,
1100,62.41860199,1100,2.158601761,1100,25.2930851,1100,29.58716965,1100,15.76893806,
1090,62.11017227,1090,2.19498539,1090,24.14236832,1090,29.70399857,1090,15.85692787,
1080,63.12520599,1080,2.20805788,1080,25.0374012,1080,29.41168022,1080,14.72912979,
1070,62.65778351,1070,2.234265089,1070,26.17672348,1070,29.68644524,1070,14.81353474,
1060,62.5627861,1060,2.223523855,1060,26.06876564,1060,30.07580376,1060,14.7249918,
1050,63.5836792,1050,2.191359043,1050,25.45363045,1050,30.24668312,1050,13.87532806,
1040,62.77301788,1040,2.147171021,1040,24.83420563,1040,30.95869637,1040,14.44607639,
1030,63.2235527,1030,2.205351114,1030,25.24757385,1030,31.80381966,1030,14.35435677,
1020,64.31153107,1020,2.181578398,1020,26.25786591,1020,32.46741867,1020,14.0616045,
1010,63.81621552,1010,2.161729336,1010,26.00478745,1010,33.60203552,1010,15.14997959,
1000,64.68209839,1000,2.154101849,1000,24.98498917,1000,34.2843132,1000,15.19581985,
990,65.2711792,990,2.199890375,990,25.00772095,990,34.4824791,990,15.20814419,
980,63.86501694,980,2.194696903,980,25.59733391,980,34.54190826,980,16.27714539,
970,65.34194183,970,2.26385355,970,25.86058426,970,34.57164001,970,15.94303513,
960,66.23984528,960,2.221233606,960,25.98487473,960,34.77132797,960,16.44173813,
950,65.94577789,950,2.321999073,950,26.06702232,950,35.4235878,950,17.3800621,
940,67.07559204,940,2.272600412,940,25.87892342,940,35.88100815,940,16.6688652,
930,67.56748962,930,2.368776083,930,26.06146049,930,36.49583054,930,17.19635201,
920,68.80332184,920,2.302041054,920,26.12277222,920,37.68915176,920,18.09317017,
910,71.18473816,910,2.30152154,910,25.41013145,910,38.08203125,910,17.29946518,
900,71.74935913,900,2.455690145,900,24.67053032,900,38.86743927,900,17.76184845,
890,72.82010651,890,2.595262289,890,24.35157585,890,38.87321854,890,17.8197937,
880,75.6759491,880,2.890063763,880,24.68878555,880,38.30348969,880,16.38911438,
870,76.22836304,870,2.996425867,870,23.87981606,870,37.61083984,870,16.99482536,
860,78.59960938,860,2.999884605,860,24.30443954,860,37.24935532,860,16.41782761,
850,80.930336,850,3.676677942,850,23.01296806,850,35.76223755,850,14.95915031,
840,80.68995667,840,4.241661549,840,21.52937889,840,35.62275696,840,14.36368084,
830,83.60353851,830,3.678487539,830,20.39324379,830,34.49612427,830,13.75198364,
820,85.76985168,820,4.228722095,820,20.17710304,820,35.06628036,820,13.05150795,
810,87.90081024,810,6.15342617,810,17.46107864,810,35.24703979,810,13.62499714,
800,98.35781097,800,5.323959351,800,18.74266624,800,36.77101898,800,13.7475071,
798,58.70138931,798,1.279248714,798,6.306586266,798,18.19341469,798,5.03521347,
796,59.04951859,796,1.252979517,796,6.131932735,796,17.84708405,796,4.983584404,
794,58.49416351,794,1.254573107,794,5.908129692,794,17.37278938,794,4.812927723,
792,58.92133713,792,1.248565555,792,5.769479275,792,17.02676392,792,4.6362257,
790,57.59331131,790,1.231679201,790,5.559053898,790,16.44239998,790,4.377875328,
788,57.77499008,788,1.221209526,788,5.360317707,788,16.09203339,788,4.263771534,
