calibration,,calibration,,
Wavelength (nm),%T,Wavelength (nm),%T,
1310,82.05435944,1310,82.0647583,
1308,82.05369568,1308,82.06241608,
1306,82.06015778,1306,82.06526947,
1304,82.05268097,1304,82.06192017,
1302,82.05693817,1302,82.06526184,
1300,82.05623627,1300,82.06758118,
1298,82.06178284,1298,82.07320404,
1296,82.06140137,1296,82.07669067,
1294,82.05608368,1294,82.06410217,
1292,82.05189514,1292,82.06520081,
1290,82.05182648,1290,82.06027985,
1288,82.04532623,1288,82.05876923,
1286,82.03559113,1286,82.04728699,
1284,82.03646851,1284,82.04527283,
1282,82.01732635,1282,82.03134155,
1280,82.01445007,1280,82.02550507,
1278,82.01925659,1278,82.03463745,
1276,82.01622772,1276,82.02734375,
1274,82.01824188,1274,82.02245331,
1272,82.01268005,1272,82.02696228,
1270,82.01074982,1270,82.02244568,
1268,81.99957275,1268,82.01595306,
1266,82.00386047,1266,82.00603485,
1264,81.990242,1264,82.01428223,
1262,81.99724579,1262,82.00156403,
1260,81.99613953,1260,82.00640869,
1258,81.9914093,1258,82.00881958,
1256,81.98171234,1256,81.99921417,
1254,81.98684692,1254,81.99142456,
1252,81.98734283,1252,82.00357819,
1250,81.97725677,1250,81.99706268,
1248,81.97885895,1248,81.99170685,
1246,81.97736359,1246,81.99214935,
1244,81.98007965,1244,81.99279022,
1242,81.967453,1242,81.98182678,
1240,81.97724152,1240,81.98049164,
1238,81.97235107,1238,81.98181152,
1236,81.97192383,1236,81.98839569,
1234,81.95488739,1234,81.97233582,
1232,81.96283722,1232,81.96797943,
1230,81.96963501,1230,81.97949982,
1228,81.95808411,1228,81.97627258,
1226,81.96492004,1226,81.97254181,
1224,81.96000671,1224,81.97367096,
1222,81.96176147,1222,81.97524261,
1220,81.95404053,1220,81.97068787,
1218,81.9553299,1218,81.96395111,
1216,81.95611572,1216,81.96728516,
1214,81.9525528,1214,81.9691391,
1212,81.94651794,1212,81.96302032,
1210,81.95115662,1210,81.96175385,
1208,81.96061707,1208,81.97019196,
1206,81.95452881,1206,81.97039795,
1204,81.95916748,1204,81.9701004,
1202,81.96015167,1202,81.96653748,
1200,81.95703125,1200,81.96832275,
1198,81.94330597,1198,81.9608078,
1196,81.93453217,1196,81.94902802,
1194,81.93210602,1194,81.93656921,
1192,81.91811371,1192,81.93392181,
1190,81.92366028,1190,81.93791199,
1188,81.91514587,1188,81.9325943,
1186,81.91286469,1186,81.92698669,
1184,81.91296387,1184,81.93235016,
1182,81.90982056,1182,81.92626953,
1180,81.91591644,1180,81.92758179,
1178,81.90673828,1178,81.92247772,
1176,81.91129303,1176,81.92839813,
1174,81.91203308,1174,81.92894745,
1172,81.90751648,1172,81.91858673,
1170,81.90663147,1170,81.92628479,
1168,81.90574646,1168,81.92379761,
1166,81.91148376,1166,81.92498779,
1164,81.90458679,1164,81.91283417,
1162,81.88771057,1162,81.91921234,
1160,81.84510803,1160,81.89414978,
1158,81.91092682,1158,81.92301941,
1156,81.90411377,1156,81.9217453,
1154,81.90322876,1154,81.92396545,
1152,81.88339233,1152,81.91658783,
1150,81.88832855,1150,81.89950562,
1148,81.89152527,1148,81.89540863,
1146,81.88079071,1146,81.89302826,
1144,81.89433289,1144,81.90834045,
1142,81.89401245,1142,81.90805054,
1140,81.90142059,1140,81.91859436,
1138,81.90090179,1138,81.91451263,
1136,81.90106201,1136,81.90886688,
1134,81.87431335,1134,81.89414215,
1132,81.89946747,1132,81.90892792,
1130,81.89672089,1130,81.90843964,
1128,81.88553619,1128,81.9005127,
1126,81.88202667,1126,81.89480591,
1124,81.87606049,1124,81.891922,
1122,81.87786102,1122,81.89387512,
1120,81.86080933,1120,81.88304138,
1118,81.85357666,1118,81.88565826,
1116,81.86774445,1116,81.8842926,
1114,81.864151,1114,81.86418152,
1112,81.86154938,1112,81.87162018,
1110,81.86284637,1110,81.86569977,
1108,81.85443878,1108,81.85499573,
1106,81.82530975,1106,81.8458786,
1104,81.82674408,1104,81.85212708,
1102,81.83184814,1102,81.84004211,
1100,81.8186264,1100,81.83796692,
1098,81.8030777,1098,81.82779694,
1096,81.81747437,1096,81.82285309,
1094,81.80480957,1094,81.82327271,
1092,81.79456329,1092,81.81254578,
1090,81.78475189,1090,81.80374146,
1088,81.78604126,1088,81.79677582,
1086,81.77921295,1086,81.8000412,
1084,81.76976776,1084,81.78633118,
1082,81.75688171,1082,81.78408813,
1080,81.75186157,1080,81.76992798,
1078,81.75687408,1078,81.77063751,
1076,81.73964691,1076,81.75898743,
1074,81.7264328,1074,81.7502594,
1072,81.73058319,1072,81.73968506,
1070,81.71727753,1070,81.73694611,
1068,81.70883942,1068,81.7245636,
1066,81.70132446,1066,81.71121979,
1064,81.69747925,1064,81.71134949,
1062,81.67967987,1062,81.7000885,
1060,81.67201996,1060,81.68779755,
1058,81.66455078,1058,81.67837524,
1056,81.65154266,1056,81.66881561,
1054,81.63732147,1054,81.66243744,
1052,81.62969971,1052,81.64359283,
1050,81.62641144,1050,81.63271332,
1048,81.61095428,1048,81.63396454,
1046,81.59754181,1046,81.61505127,
1044,81.59416199,1044,81.60648346,
1042,81.58407593,1042,81.59610748,
1040,81.56380463,1040,81.58430481,
1038,81.56046295,1038,81.56737518,
1036,81.55194092,1036,81.55886841,
1034,81.51630402,1034,81.5326004,
1032,81.51295471,1032,81.53140259,
1030,81.50609589,1030,81.51194763,
1028,81.48665619,1028,81.49816132,
1026,81.46477509,1026,81.49197388,
1024,81.45413208,1024,81.46638489,
1022,81.43849182,1022,81.44747162,
1020,81.41539001,1020,81.42716217,
1018,81.39759064,1018,81.41819763,
1016,81.38382721,1016,81.39587402,
1014,81.36606598,1014,81.3716507,
1012,81.33334351,1012,81.35675049,
1010,81.3187561,1010,81.33374023,
1008,81.30165863,1008,81.31020355,
1006,81.27662659,1006,81.28417969,
1004,81.25151062,1004,81.27237701,
1002,81.21733856,1002,81.22909546,
1000,81.20399475,1000,81.21438599,
998,81.17546844,998,81.18740845,
996,81.14978027,996,81.1680603,
994,81.11367798,994,81.12866974,
992,81.09900665,992,81.10664368,
990,81.06407166,990,81.08299255,
988,81.04920197,988,81.06385803,
986,81.02876282,986,81.04138947,
984,81.01567841,984,81.02293396,
982,80.99193573,982,81.01200104,
980,80.98707581,980,81.00500488,
978,80.98223114,978,80.99615479,
976,80.96990204,976,80.98950958,
974,80.9747467,974,80.99127197,
972,80.96983337,972,80.97881317,
970,80.94481659,970,80.95330811,
968,80.91374969,968,80.93286896,
966,80.89472198,966,80.9116745,
964,80.87342072,964,80.88344574,
962,80.84007263,962,80.84858704,
960,80.81602478,960,80.83140564,
958,80.7951355,958,80.81004333,
956,80.76787567,956,80.77843475,
954,80.72548676,954,80.74298859,
952,80.70075226,952,80.71778107,
950,80.6829071,950,80.69657135,
948,80.64375305,948,80.65511322,
946,80.62075806,946,80.64363861,
944,80.59886169,944,80.61675262,
942,80.57202911,942,80.58441162,
940,80.54222107,940,80.5582962,
938,80.51316833,938,80.53105164,
936,80.48969269,936,80.50509644,
934,80.47396088,934,80.48451233,
932,80.42649841,932,80.449646,
930,80.40677643,930,80.42630005,
928,80.36962891,928,80.38353729,
926,80.31650543,926,80.33170319,
924,80.26750946,924,80.28813934,
922,80.21969604,922,80.23897552,
920,80.18173981,920,80.19645691,
918,80.11963654,918,80.13536835,
916,80.06217957,916,80.07580566,
914,80.0193634,914,80.03285217,
912,79.95823669,912,79.97042084,
910,79.89096069,910,79.90613556,
908,79.84856415,908,79.86044312,
906,79.77510834,906,79.79395294,
904,79.70227814,904,79.72122955,
902,79.64186096,902,79.65671539,
900,79.57162476,900,79.59051514,
898,79.51066589,898,79.52465057,
896,79.43095398,896,79.44673157,
894,79.36021423,894,79.37373352,
892,79.29203033,892,79.30797577,
890,79.20546722,890,79.217659,
888,79.12257385,888,79.13922119,
886,79.04032135,886,79.05462646,
884,78.95743561,884,78.97298431,
882,78.88098145,882,78.89744568,
880,78.7811203,880,78.79244232,
878,78.68336487,878,78.69915009,
876,78.61045837,876,78.61811066,
