Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,42.40940475,2000,32.58353424,2000,32.2461586,2000,50.49124908,2000,25.60941505,
1998,42.59746552,1998,32.56676102,1998,32.04105377,1998,50.51251221,1998,25.64695549,
1996,42.57241821,1996,32.44515228,1996,32.10200882,1996,50.49007416,1996,25.72008896,
1994,42.50083923,1994,32.47235107,1994,32.16192627,1994,50.53219604,1994,25.84409714,
1992,42.37666321,1992,32.48682785,1992,32.39690399,1992,50.55953979,1992,25.87184906,
1990,42.43073654,1990,32.58272552,1990,32.583004,1990,50.62733459,1990,25.88635445,
1988,42.4379921,1988,32.78533936,1988,32.54386902,1988,50.66867447,1988,25.86831474,
1986,42.43047714,1986,32.80225372,1986,32.414608,1986,50.66339493,1986,25.78902626,
1984,42.58108139,1984,32.72042465,1984,32.19894409,1984,50.68942261,1984,25.80261803,
1982,42.62999725,1982,32.50357819,1982,32.23945236,1982,50.69283295,1982,25.86901093,
1980,42.62950134,1980,32.48365784,1980,32.26929092,1980,50.72758102,1980,26.01132965,
1978,42.47621536,1978,32.49278259,1978,32.49193192,1978,50.74490738,1978,26.04615784,
1976,42.4417038,1976,32.53773499,1976,32.74085236,1976,50.80161667,1976,26.0595417,
1974,42.5394516,1974,32.70291138,1974,32.69824219,1974,50.87065125,1974,26.04154968,
1972,42.67621994,1972,32.70280075,1972,32.54253387,1972,50.89317703,1972,25.96555328,
1970,42.84904861,1970,32.71141434,1970,32.28044891,1970,50.89590454,1970,25.97126961,
1968,42.83438492,1968,32.60051727,1968,32.34885788,1968,50.89225769,1968,26.02921486,
1966,42.81912613,1966,32.61573792,1966,32.42012024,1966,50.95820999,1966,26.1673336,
1964,42.72213745,1964,32.69904709,1964,32.61478424,1964,51.02441406,1964,26.23262978,
