Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1541,196.6216736,1541,87.43585205,1541,126.4195175,1541,181.2245789,1541,99.44813538,
1540,196.4505463,1540,87.23628235,1540,126.7364655,1540,181.2707825,1540,99.5333786,
1539,196.3745728,1539,87.23443604,1539,126.7470856,1539,181.6570129,1539,99.54003143,
1538,196.5558929,1538,87.30531311,1538,126.6793594,1538,181.9340057,1538,99.44210052,
1537,196.8944855,1537,87.53812408,1537,126.4402237,1537,181.9100189,1537,99.14128876,
1536,196.9268951,1536,87.59033203,1536,126.0734711,1536,181.8191223,1536,99.10385132,
1535,196.9201965,1535,87.60256958,1535,126.0117798,1535,181.3498077,1535,99.11132813,
1534,196.6745911,1534,87.55404663,1534,126.1059723,1534,181.1685944,1534,99.37796021,
1533,196.4262695,1533,87.32461548,1533,126.4368439,1533,181.1702423,1533,99.52901459,
1532,196.4210358,1532,87.29121399,1532,126.4615326,1532,181.460144,1532,99.54113007,
1531,196.6226349,1531,87.34824371,1531,126.4446487,1531,181.7438049,1531,99.45494843,
1530,196.9544067,1530,87.58200073,1530,126.2973938,1530,181.7031097,1530,99.1441803,
1529,197.0240479,1529,87.65736389,1529,125.9150009,1529,181.6994934,1529,99.10458374,
1528,196.9614868,1528,87.69044495,1528,125.8588562,1528,181.2969666,1528,99.16117859,
1527,196.7277222,1527,87.63909912,1527,125.9450073,1527,181.0684204,1527,99.43048096,
1526,196.5010223,1526,87.39901733,1526,126.3044739,1526,181.0924683,1526,99.62807465,
1525,196.5019379,1525,87.38799286,1525,126.33078,1525,181.383728,1525,99.63867188,
1524,196.6771545,1524,87.43093109,1524,126.3474579,1524,181.6999054,1524,99.60502625,
1523,197.0588837,1523,87.66148376,1523,126.1888657,1523,181.7072449,1523,99.31023407,
1522,197.1131287,1522,87.77131653,1522,125.77565,1522,181.6657715,1522,99.21980286,
1521,197.140152,1521,87.76895142,1521,125.7047272,1521,181.2392426,1521,99.24113464,
1520,196.9790039,1520,87.72117615,1520,125.7823944,1520,180.9476776,1520,99.46936035,
1519,196.6754456,1519,87.5093689,1519,126.1431427,1519,180.9406891,1519,99.71607208,
1518,196.6627502,1518,87.44872284,1518,126.2072449,1518,181.1947174,1518,99.74954987,
1517,196.7590942,1517,87.47328186,1517,126.2082062,1517,181.5645752,1517,99.75214386,
1516,197.2103424,1516,87.68804932,1516,126.1051559,1516,181.5905914,1516,99.4746933,
1515,197.2842407,1515,87.80732727,1515,125.7143478,1515,181.5460205,1515,99.35041809,
1514,197.2632446,1514,87.81729126,1514,125.6775131,1514,181.1995697,1514,99.36672211,
1513,197.0887451,1513,87.80241394,1513,125.7296829,1513,180.8578186,1513,99.59635925,
1512,196.7600555,1512,87.55979919,1512,126.0750198,1512,180.8234406,1512,99.83308411,
1511,196.6939392,1511,87.50914001,1511,126.1535873,1511,181.0327759,1511,99.82700348,
1510,196.7390442,1510,87.5620575,1510,126.1337967,1510,181.4358063,1510,99.81253052,
1509,197.1808014,1509,87.73564911,1509,126.0694885,1509,181.4476471,1509,99.54248047,
1508,197.2956848,1508,87.88550568,1508,125.6570587,1508,181.4220734,1508,99.40124512,
1507,197.3305664,1507,87.90197754,1507,125.5616989,1507,181.0767212,1507,99.42576599,
1506,197.2024994,1506,87.85377502,1506,125.5742569,1506,180.7136688,1506,99.62615204,
1505,196.8293457,1505,87.63170624,1505,125.8987885,1505,180.6685944,1505,99.88785553,
1504,196.7592926,1504,87.53843689,1504,126.0462418,1504,180.8634644,1504,99.91026306,
1503,196.862381,1503,87.55680847,1503,126.0321732,1503,181.2817535,1503,99.91194916,
1502,197.2294617,1502,87.72066498,1502,125.9340134,1502,181.2771759,1502,99.67284393,
1501,197.3560486,1501,87.85470581,1501,125.5525436,1501,181.1982269,1501,99.49939728,
1500,197.4149323,1500,87.85224915,1500,125.4677734,1500,180.9152069,1500,99.49087524,
1499,197.2190094,1499,87.84183502,1499,125.5200729,1499,180.5008392,1499,99.66388702,
1498,196.868866,1498,87.61745453,1498,125.8032837,1498,180.4459991,1498,99.96063232,
1497,196.7865295,1497,87.48014832,1497,125.9994049,1497,180.5521851,1497,100.0228424,
1496,196.8488922,1496,87.48773193,1496,125.9647217,1496,180.953598,1496,100.0050278,
1495,197.1968079,1495,87.6084671,1495,125.8884277,1495,180.9392548,1495,99.77903748,
1494,197.3516846,1494,87.74190521,1494,125.494133,1494,180.903595,1494,99.57004547,
1493,197.3747864,1493,87.7689743,1493,125.3266678,1493,180.6012573,1493,99.57338715,
1492,197.2794495,1492,87.72372437,1492,125.3554382,1492,180.0819244,1492,99.73026276,
1491,196.9582367,1491,87.51277924,1491,125.6389236,1491,180.075943,1491,100.0207062,
1490,196.8621216,1490,87.39282227,1490,125.8725891,1490,180.2530212,1490,100.0706558,
1489,196.9201965,1489,87.38802338,1489,125.8442154,1489,180.7013245,1489,100.0335312,
1488,197.2991791,1488,87.49430084,1488,125.7740936,1488,180.7782898,1488,99.8649292,
1487,197.4215088,1487,87.63526917,1487,125.414444,1487,180.6797485,1487,99.63895416,
1486,197.3722076,1486,87.59964752,1486,125.2131195,1486,180.3716125,1486,99.63426208,
1485,197.2655334,1485,87.54858398,1485,125.1777496,1485,179.8421783,1485,99.74280548,
1484,196.8634338,1484,87.35319519,1484,125.4303894,1484,179.7575684,1484,100.064888,
1483,196.7485352,1483,87.15356445,1483,125.6700058,1483,179.795166,1483,100.1165771,
1482,196.7942505,1482,87.13659668,1482,125.6858139,1482,180.2245178,1482,100.0727921,
1481,197.170517,1481,87.26652527,1481,125.6696548,1481,180.3273621,1481,99.89239502,
1480,197.385437,1480,87.43894958,1480,125.3665695,1480,180.3162689,1480,99.62432098,
1479,197.3911896,1479,87.45657349,1479,125.126503,1479,180.1444397,1479,99.62246704,
