Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1741,170.0497742,1741,71.96324158,1741,109.0755234,1741,156.9620819,1741,89.94828033,
1740,168.8733521,1740,71.64955139,1740,108.3663025,1740,156.6309814,1740,89.63784027,
1739,167.7959137,1739,71.20385742,1739,107.8855362,1739,156.0357513,1739,89.43566132,
1738,166.6294556,1738,70.73534393,1738,107.5245514,1738,155.3700562,1738,89.05482483,
1737,165.655304,1737,70.43924713,1737,107.3420181,1737,154.4854584,1737,88.44420624,
1736,164.4402161,1736,70.25180817,1736,106.895256,1736,153.5392761,1736,87.66894531,
1735,163.3186646,1735,70.15879059,1735,106.4795761,1735,152.9582825,1735,86.69219208,
1734,162.1217804,1734,69.98273468,1734,105.9841309,1734,152.6497192,1734,85.85984039,
1733,161.0451355,1733,69.86315918,1733,105.4583588,1733,152.6648102,1733,85.15743256,
1732,160.2418671,1732,69.68946075,1732,105.2553864,1732,152.4835052,1732,84.72702789,
1731,159.7290497,1731,69.57341766,1731,105.3064346,1731,152.4413605,1731,84.331604,
1730,159.5549011,1730,69.67926788,1730,105.7770462,1730,152.3364716,1730,83.85614014,
1729,159.3645935,1729,69.93540192,1729,106.068779,1729,152.3092651,1729,83.39989471,
1728,159.1852722,1728,70.42359161,1728,106.4044342,1728,152.8262939,1728,82.8360672,
1727,158.9007416,1727,70.79799652,1727,106.7210693,1727,153.6353302,1727,82.42577362,
1726,158.6355133,1726,71.18190765,1726,106.8619843,1726,154.8364868,1726,82.18699646,
1725,158.6438446,1725,71.44285583,1725,107.2814941,1725,155.6531372,1725,82.1654892,
1724,158.9768677,1724,71.66288757,1724,107.8357086,1724,156.4870911,1724,82.19767761,
1723,159.5753479,1723,72.02365112,1723,108.6659698,1723,157.047287,1723,82.11875916,
1722,160.2111053,1722,72.47329712,1722,109.2120667,1722,157.4348297,1722,82.08876038,
1721,160.7899933,1721,73.06345367,1721,109.669838,1721,158.1937866,1721,81.93862915,
1720,161.4677277,1720,73.46473694,1720,110.1483688,1720,159.1451263,1720,81.95903778,
1719,162.1402283,1719,73.89974976,1719,110.3929672,1719,160.4845428,1719,82.2745285,
1718,163.2663879,1718,74.23114777,1718,110.9474335,1718,161.447403,1718,82.81390381,
1717,164.7373962,1717,74.47728729,1717,111.670372,1717,162.4918823,1717,83.59429932,
1716,166.4701996,1716,74.9176712,1716,112.747345,1716,163.2929993,1716,84.23960876,
1715,167.9792328,1715,75.43551636,1715,113.5544281,1715,163.8977814,1715,84.91646576,
1714,169.2730713,1714,76.08006287,1714,114.2485504,1714,164.8652191,1714,85.42762756,
1713,170.3582764,1713,76.56886292,1713,114.8470764,1713,165.9709015,1713,85.98042297,
1712,171.1316528,1712,76.99298096,1712,115.1474609,1712,167.4136505,1712,86.67831421,
1711,172.1021576,1711,77.31216431,1711,115.6708832,1711,168.3967285,1711,87.47085571,
1710,173.2740936,1710,77.50079346,1710,116.2679291,1710,169.2937927,1710,88.36237335,
1709,174.5934448,1709,77.84506989,1709,117.1640854,1709,169.8918762,1709,88.94956207,
1708,175.7709351,1708,78.24668884,1708,117.8347321,1708,170.2107849,1708,89.46694183,
1707,176.6954193,1707,78.79347229,1707,118.326973,1707,170.8905945,1707,89.83136749,
1706,177.4766998,1706,79.18449402,1706,118.7644043,1706,171.6759491,1706,90.11608124,
1705,178.0115509,1705,79.50718689,1705,118.8380966,1705,172.8646545,1705,90.63551331,
1704,178.7436066,1704,79.70478821,1704,119.1567764,1704,173.5847168,1704,91.25273895,
1703,179.6207733,1703,79.79361725,1703,119.5947189,1703,174.1763763,1703,92.00444031,
1702,180.6481781,1702,80.01216125,1702,120.2849655,1702,174.5832367,1702,92.47454071,
1701,181.6661377,1701,80.30334473,1701,120.8768387,1701,174.6073761,1701,92.87434387,
1700,182.3466339,1700,80.72918701,1700,121.2157135,1700,175.0252533,1700,93.15562439,
1699,182.8881683,1699,81.04159546,1699,121.4641418,1699,175.5913086,1699,93.28216553,
1698,183.1538391,1698,81.27124786,1698,121.4286804,1698,176.5011292,1698,93.67821503,
1697,183.6407776,1697,81.41378021,1697,121.5714188,1697,177.0856934,1697,94.13710022,
1696,184.1760254,1696,81.3662796,1696,121.9069824,1696,177.4637451,1696,94.75576019,
1695,184.9695282,1695,81.49714661,1695,122.4958038,1695,177.7145081,1695,95.07794952,
1694,185.69841,1694,81.70915985,1694,122.9363708,1694,177.5536804,1694,95.37483215,
1693,186.0933075,1693,82.07352448,1693,123.1611938,1693,177.7487183,1693,95.48914337,
1692,186.4253082,1692,82.3422699,1692,123.3234177,1692,178.1402893,1692,95.45983124,
1691,186.5254364,1691,82.51300812,1691,123.1995087,1691,178.8132477,1691,95.67214966,
1690,186.682312,1690,82.57945251,1690,123.2109909,1690,179.3033142,1690,95.99371338,
1689,187.0697632,1689,82.52037048,1689,123.3658066,1689,179.5576782,1689,96.51631165,
1688,187.6031494,1688,82.57564545,1688,123.884079,1688,179.702179,1688,96.75753021,
1687,188.212616,1687,82.68841553,1687,124.3071289,1687,179.386322,1687,96.96620178,
1686,188.5076752,1686,82.95475006,1686,124.4600677,1686,179.4536285,1686,96.96337128,
1685,188.7247009,1685,83.18962097,1685,124.5818863,1685,179.7000275,1685,96.82242584,
1684,188.6799164,1684,83.28203583,1684,124.3968124,1684,180.223053,1684,96.938797,
1683,188.7657318,1683,83.3494873,1683,124.3311157,1683,180.6524353,1683,97.14879608,
1682,188.9013824,1682,83.19794464,1682,124.4429474,1682,180.7994537,1682,97.60536957,
1681,189.3053284,1681,83.20994568,1681,124.8158722,1681,180.8848572,1681,97.78197479,
1680,189.8201447,1680,83.29112244,1680,125.2156601,1680,180.5523987,1680,97.89271545,
1679,189.9793243,1679,83.54788208,1679,125.3268738,1679,180.5311279,1679,97.85951233,
1678,190.1737213,1678,83.7614212,1678,125.4017563,1678,180.7564545,1678,97.62846375,
1677,190.1065979,1677,83.86989594,1677,125.2012634,1677,181.2149658,1677,97.69239807,
1676,190.0158234,1676,83.88278961,1676,125.0383377,1676,181.6183624,1676,97.8276062,
1675,190.1027527,1675,83.73447418,1675,125.1170273,1675,181.7281189,1675,98.21578217,
1674,190.4209442,1674,83.69194031,1674,125.4593048,1674,181.7692871,1674,98.35871124,
1673,190.8937988,1673,83.75899506,1673,125.8557587,1673,181.3898468,1673,98.43173218,
1672,191.0565796,1672,83.95787811,1672,125.945961,1672,181.2524719,1672,98.39642334,
1671,191.2497253,1671,84.16545105,1671,125.9914627,1671,181.3480072,1671,98.13787079,
1670,191.0697632,1670,84.22509003,1670,125.7931137,1670,181.7546539,1670,98.13478851,
1669,190.9391174,1669,84.2621994,1669,125.5873337,1669,182.1757965,1669,98.21608734,
1668,190.9979401,1668,84.10300446,1668,125.6765823,1668,182.2939453,1668,98.60988617,
