688.76575	4250
688.77429	4251
688.78284	4241
688.79132	4241
688.79987	4233
688.80835	4233
688.81689	4233
688.82538	4236
688.83392	4227
688.84241	4227
688.85095	4224
688.85944	4227
688.86798	4228
688.87646	4226
688.88501	4224
688.89349	4222
688.90204	4222
688.91052	4220
688.91901	4221
688.92755	4215
688.93604	4228
688.94452	4230
688.95306	4223
688.96155	4220
688.97003	4215
688.97852	4222
688.98706	4217
688.99554	4222
689.00403	4220
689.01251	4216
689.021	4213
689.02954	4216
689.03802	4214
689.04651	4214
689.05499	4217
689.06348	4218
689.07196	4223
689.08044	4210
689.08893	4218
689.09741	4217
689.1059	4214
689.11438	4221
689.12292	4222
689.13135	4214
689.13983	4213
689.14832	4213
689.1568	4215
689.16528	4214
689.17377	4219
689.18225	4217
689.19073	4213
689.19922	4215
689.2077	4210
689.21619	4212
689.22461	4221
689.23309	4220
689.24158	4217
689.25006	4207
689.25854	4214
689.26697	4214
689.27545	4219
689.28394	4217
689.29236	4215
689.30084	4211
689.30933	4212
689.31775	4209
689.32623	4215
689.33472	4214
689.34314	4213
689.35162	4215
689.36011	4224
689.36853	4212
689.37701	4206
689.38544	4216
689.39392	4220
689.40234	4224
689.41083	4218
689.41925	4217
689.42773	4212
689.43616	4202
689.44464	4212
689.45306	4218
689.46149	4216
689.46997	4215
689.47839	4217
689.48688	4209
689.4953	4208
689.50372	4212
689.51221	4214
689.52063	4214
689.52905	4211
689.53748	4217
689.54596	4215
689.55438	4207
689.56281	4210
689.57123	4219
689.57971	4218
689.58813	4213
689.59656	4214
689.60498	4208
689.6134	4212
689.62183	4218
689.63025	4215
689.63873	4216
689.64716	4214
689.65558	4216
689.664	4218
689.67242	4213
689.68085	4214
689.68927	4213
689.69769	4213
689.70612	4219
689.71454	4209
689.72296	4212
689.73138	4217
689.73975	4215
689.74817	4217
689.75659	4219
689.76501	4217
689.77344	4218
689.78186	4212
689.79028	4211
689.79865	4210
689.80707	4216
689.81549	4223
689.82391	4214
689.83234	4211
689.8407	4211
689.84912	4216
689.85754	4212
689.86591	4213
689.87433	4218
689.88275	4221
689.89111	4214
689.89954	4212
689.90796	4214
689.91632	4218
689.92474	4214
689.93311	4217
689.94153	4215
689.94989	4205
689.95831	4213
689.96667	4211
689.9751	4214
689.98346	4212
